x,y,dtw,domain
-30.72469139099121,-64.77914428710938,12,image
-26.39781951904297,-69.26136779785156,13,image
-9.18354606628418,-70.27764129638672,15,image
3.714782238006592,-58.80148696899414,16,image
6.918048858642578,-53.17458724975586,17,image
15.956188201904297,-47.68013381958008,18,image
17.39522933959961,-45.79396057128906,19,image
37.61629104614258,-44.11909866333008,21,image
30.483278274536133,-31.330625534057617,23,image
25.41727638244629,-29.80814552307129,24,image
-23.172971725463867,-5.794037818908691,26,image
-22.991867065429688,-5.468655109405518,27,image
-23.354740142822266,-5.640501022338867,27,image
-28.105148315429688,-4.49354362487793,27,image
-28.888681411743164,-5.023947715759277,28,image
-34.04075241088867,0.15762925148010254,29,image
-54.33073806762695,7.562108039855957,32,image
-60.5186767578125,14.068841934204102,35,image
-60.52577209472656,13.949274063110352,37,image
-64.37850952148438,20.67986488342285,38,image
-60.604827880859375,28.856035232543945,39,image
-18.424633026123047,30.78353500366211,0,image
-18.597898483276367,30.499666213989258,0,image
-20.203399658203125,28.38231086730957,0,image
-25.652299880981445,26.77495765686035,0,image
-33.352718353271484,24.487728118896484,1,image
-37.76175308227539,22.05862045288086,2,image
-64.64214324951172,-5.774003028869629,3,image
-64.40249633789062,-5.817503452301025,4,image
-66.47859954833984,-13.62185001373291,5,image
-66.51412200927734,-19.444875717163086,6,image
-65.85977172851562,-19.5549373626709,6,image
-56.18864059448242,-25.23230743408203,7,image
-51.993003845214844,-27.775211334228516,7,image
-51.213809967041016,-32.69221878051758,7,image
-50.59818649291992,-39.45930862426758,8,image
